,,,-9.620000E-3,316.20002E-3,
,,,-9.600000E-3,316.20002E-3,
,,,-9.580000E-3,315.00000E-3,
,,,-9.560000E-3,314.59999E-3,
,,,-9.540000E-3,314.59999E-3,
,,,-9.520000E-3,315.00000E-3,
,,,-9.500000E-3,315.40000E-3,
,,,-9.480000E-3,315.00000E-3,
,,,-9.460000E-3,315.00000E-3,
,,,-9.440000E-3,315.40000E-3,
,,,-9.420000E-3,315.00000E-3,
,,,-9.400000E-3,315.00000E-3,
,,,-9.380000E-3,315.00000E-3,
,,,-9.360000E-3,315.80001E-3,
,,,-9.340000E-3,315.40000E-3,
,,,-9.320000E-3,315.80001E-3,
,,,-9.300000E-3,315.40000E-3,
