502	     2.37	 0.2290	 0.0000	 0.0000
503	     2.37	 0.0900	 0.0000	 0.0000
504	     2.38	 0.1810	 0.0000	 0.0000
505	     2.38	 0.4380	 0.0000	 0.0000
506	     2.39	 0.0560	 0.0000	 0.0000
507	     2.39	 0.0500	 0.0000	 0.0000
508	     2.40	 0.3220	 0.0000	 0.0000
509	     2.40	 0.0170	 0.0000	 0.0000
510	     2.40	 0.4130	 0.0000	 0.0000
511	     2.41	 0.1140	 0.0000	 0.0000
512	     2.41	 0.8890	 0.0000	 0.0000
513	     2.42	 0.0980	 0.0000	 0.0000
514	     2.42	 0.2260	 0.0000	 0.0000
515	     2.43	 0.1540	 0.0000	 0.0000
516	     2.43	 0.2230	 0.0000	 0.0000
517	     2.44	 0.1180	 0.0000	 0.0000
518	     2.44	 0.3710	 0.0000	 0.0000
519	     2.45	 0.2540	 0.0000	 0.0000
520	     2.45	 0.1260	 0.0000	 0.0000
521	     2.46	 0.1320	 0.0000	 0.0000
522	     2.46	 0.1150	 0.0000	 0.0000
523	     2.47	 0.3900	 0.0000	 0.0000
524	     2.47	 0.1390	 0.0000	 0.0000
525	     2.48	 0.0670	 0.0000	 0.0000
526	     2.48	 0.0190	 0.0000	 0.0000
527	     2.49	 0.0870	 0.0000	 0.0000
528	     2.49	 0.0790	 0.0000	 0.0000
529	     2.49	 0.2330	 0.0000	 0.0000
530	     2.50	 0.3010	 0.0000	 0.0000
531	     2.50	 0.3980	 0.0000	 0.0000
532	     2.51	 0.1090	 0.0000	 0.0000
533	     2.51	 0.2090	 0.0000	 0.0000
534	     2.52	 0.0860	 0.0000	 0.0000
535	     2.52	 0.4860	 0.0000	 0.0000
536	     2.53	 0.0940	 0.0000	 0.0000
537	     2.53	 0.0900	 0.0000	 0.0000
538	     2.54	 0.4400	 0.0000	 0.0000
539	     2.54	 0.0740	 0.0000	 0.0000
540	     2.55	 0.4000	 0.0000	 0.0000
541	     2.55	 0.0760	 0.0000	 0.0000
542	     2.56	 0.0340	 0.0000	 0.0000
543	     2.56	 0.1000	 0.0000	 0.0000
544	     2.56	 0.0450	 0.0000	 0.0000
545	     2.57	 0.1140	 0.0000	 0.0000
546	     2.57	 0.0410	 0.0000	 0.0000
547	     2.58	 0.1440	 0.0000	 0.0000
548	     2.58	 0.1850	 0.0000	 0.0000
549	     2.59	 0.1510	 0.0000	 0.0000
550	     2.59	 0.4510	 0.0000	 0.0000
551	     2.60	 0.0720	 0.0000	 0.0000
552	     2.60	 0.0430	 0.0000	 0.0000
553	     2.61	 0.1690	 0.0000	 0.0000
554	     2.61	 0.0330	 0.0000	 0.0000
555	     2.61	 0.0970	 0.0000	 0.0000
556	     2.62	 0.1610	 0.0000	 0.0000
557	     2.62	 0.0360	 0.0000	 0.0000
558	     2.63	 0.0350	 0.0000	 0.0000
559	     2.63	 0.4420	 0.0000	 0.0000
